id,title,publisher,authors,source_type,pub_date,access_date,url,archive_url,lang,page,classification,accessibility,paywall,license
wba_src_01HREAL001,Groundbreaking of Hwange Expansion Project report,Xinhua News Agency,,journalism,wba_date_01HREAL001,wba_date_01HREAL013,https://www.xinhuanet.com/english/2018-06/27/c_137285114.htm,,en,,primary,open,false,
wba_src_01HREAL002,President commissions US$1.5bn Hwange Power Station Expansion,The Chronicle (Zimbabwe),,journalism,wba_date_01HREAL002,wba_date_01HREAL013,https://www.chronicle.co.zw/president-commissions-us15bn-hwange-power-station-expansion-project/,,en,,secondary,open,false,
wba_src_01HREAL003,Zimbabwe's Kariba South expansion commissioned,Xinhua News Agency,,journalism,wba_date_01HREAL003,wba_date_01HREAL013,http://www.xinhuanet.com/english/2018-03/29/c_137074860.htm,,en,,primary,open,false,
wba_src_01HREAL004,RGM International Airport Expansion – Airport Technology project profile,Airport Technology (Verdict Media),,trade,wba_date_01HREAL005,wba_date_01HREAL013,https://www.airport-technology.com/projects/rgm-international-airport-expansion-harare-zimbabwe/,,en,,secondary,open,false,
wba_src_01HREAL005,Groundbreaking of RGM Airport expansion,Xinhua News Agency,,journalism,wba_date_01HREAL004,wba_date_01HREAL013,https://www.xinhuanet.com/english/2018-07/24/c_137343602.htm,,en,,primary,open,false,
wba_src_01HREAL006,Nairobi Expressway trial operation – CRBC official,China Road and Bridge Corporation,,company_announcement,wba_date_01HREAL006,wba_date_01HREAL013,https://www.crbc.com/site/crbcEN/381/info/2022/46884814.html,,en,,primary,open,false,
wba_src_01HREAL007,Kenya inaugurates Chinese-built railway linking port to capital,Reuters,,journalism,wba_date_01HREAL007,wba_date_01HREAL013,https://www.reuters.com/article/world/kenya-inaugurates-chinese-built-railway-linking-port-to-capital-idUSKBN18R2UE/,,en,,primary,open,false,
wba_src_01HREAL008,Vestas receives 310 MW order in Kenya,Vestas Wind Systems,,company_announcement,wba_date_01HREAL014,wba_date_01HREAL013,https://www.vestas.com/en/media/company-news/2014/vestas-receives-310-mw-order-in-kenya-c2964040,,en,,primary,open,false,
wba_src_01HREAL009,Lake Turkana Wind Power overview,Lake Turkana Wind Power Ltd,,company_announcement,wba_date_01HREAL008,wba_date_01HREAL013,https://ltwp.co.ke/overview-2/,,en,,primary,open,false,
wba_src_01HREAL010,Addis Ababa Light Rail Transport – ERC project page,Ethiopian Railways Corporation,,public_agency,wba_date_01HREAL009,wba_date_01HREAL013,https://erc.gov.et/project/addis-ababa-light-rail-transport/,,en,,primary,open,false,
wba_src_01HREAL011,Addis Ababa Light Rail opens – Railway Gazette,Railway Gazette International,,trade,wba_date_01HREAL009,wba_date_01HREAL013,https://www.railwaygazette.com/urban/2015/09/21/addis-ababa-light-rail-opens/,,en,,secondary,open,false,
wba_src_01HREAL012,Ethiopian-Djibouti Railway – ERC project page,Ethiopian Railways Corporation,,public_agency,wba_date_01HREAL011,wba_date_01HREAL013,https://erc.gov.et/project/the-ethiopian-djibouti-railway/,,en,,primary,open,false,
wba_src_01HREAL013,Ethiopia's Djibouti railway inaugurated,Xinhua News Agency,,journalism,wba_date_01HREAL011,wba_date_01HREAL013,http://news.xinhuanet.com/english/2016-10/05/c_135733648.htm,,en,,primary,open,false,
wba_src_01HREAL014,Grand Ethiopian Renaissance Dam – Webuild project page,Webuild S.p.A.,,company_announcement,wba_date_01HREAL012,wba_date_01HREAL013,https://www.webuildgroup.com/en/projects/dams-hydroelectric-plants/grand-ethiopian-renaissance-dam-project/,,en,,primary,open,false,
wba_src_01HREAL015,Ethiopia inaugurates 5bn Renaissance Dam – ENR,Engineering News-Record,,trade,wba_date_01HREAL012,wba_date_01HREAL013,https://www.enr.com/articles/61317-ethiopia-inaugurates-5b-renaissance-dam-africas-largest-hydropower-project,,en,,secondary,open,false,
